PERIODO,COD_MAT,COD_DOCENTE
201210,66547,2318
201210,66548,2939
201210,66549,3043
201210,66549,2134
201210,66550,3018
201210,66551,2853
201210,66551,4101
201210,66552,4082
201210,66553,3188
201210,66554,2113
201210,66554,2853
201210,66555,3053
201210,66555,2318
201210,66556,2840
201210,66556,1940
201210,66558,3122
201210,66558,2193
201210,66558,1069
201210,66559,2816
201210,66560,3122
201210,66560,2997
201210,66561,216
201210,77101,176
201210,77102,423
201210,77103,1428
201210,77104,2984
201210,77105,3192
201210,77107,2482
201210,77108,155
201210,77109,977
201210,77110,3106
201210,77110,3085
201210,77111,2983
201210,77112,2977
201210,77112,3155
201210,77113,734
201210,77114,4032
201210,77116,1824
201210,77117,2980
201210,77118,4060
201210,77119,351
201210,77120,4099
201210,77122,2980
201210,77123,734
201210,77124,2850
201210,77126,1348
201210,77127,3005
201210,77128,4060
201210,77131,2984
201210,77132,2950
201210,77133,3005
201210,77134,2950
201210,77136,2435
201210,77137,2562
201210,77138,2562
201210,77139,3085
201210,77140,977
201210,77142,2977
201210,77143,4060
201210,77145,2549
201210,77146,1824
201210,77148,3106
201210,77149,437
201210,77150,3159
201210,77151,2983
201210,77155,2984
201210,77156,616
201210,77157,2223
201210,77158,2223
201210,77159,3155
201210,77160,3106
201210,77161,2983
201210,77162,1428
201210,77163,2562
201210,77164,2977
201210,77165,1772
201210,77166,3191
201210,77201,4041
201210,77202,3087
201210,77203,2368
201210,77204,2474
201210,77205,4040
201210,77205,2880
201210,77208,1986
201210,77209,2483
201210,77210,4087
201210,77211,155
201210,77212,734
201210,77212,2233
201210,77213,3045
201210,77214,1986
201210,77215,694
201210,77216,4041
201210,77218,155
201210,77219,4087
201210,77223,2476
201210,77224,1431
201210,77224,2531
201210,77224,2476
201210,77224,2338
201210,77224,2298
201210,77224,2351
201210,77224,1685
201210,77224,3045
201210,77224,1214
201210,77224,2293
201210,77224,1772
201210,77224,2981
201210,77224,3081
201210,77224,2272
201210,77224,2841
201210,77225,2570
201210,77226,3045
201210,77228,3046
201210,77229,3045
201210,77232,2483
201210,77233,3046
201210,77234,3195
201210,77235,2483
201210,77236,2570
201210,77237,1677
201210,77238,3163
201210,77239,1251
201210,77240,3163
201210,77241,2483
201210,77242,2570
201210,77243,1251
201210,77244,4087
201210,77245,1677
201210,77246,4087
201210,77247,2332
201210,77249,2324
201210,77250,3046
201210,77251,1677
201210,77252,3153
201210,77253,2547
201210,77254,2368
201210,77255,2324
201210,77256,2547
201210,77257,3172
201210,77258,3046
201210,77259,2332
201210,77260,1251
201210,77261,2570
201210,77262,3046
201210,77263,2368
201210,77264,3046
201210,77265,155
201210,77266,4035
201210,77267,2324
201210,77301,3029
201210,77302,4035
201210,77303,4042
201210,77304,3105
201210,77305,3029
201210,77318,3049
201210,77320,4042
201210,77322,4035
201210,77323,3105
201210,77324,4042
201210,77401,4063
201210,77402,4063
201210,77403,1348
201210,77404,4033
201210,77405,3192
201210,77408,756
201210,77409,1526
201210,77410,4034
201210,77411,1526
201210,77412,4059
201210,77413,756
201210,77414,4034
201210,77415,4039
201210,77416,4059
201210,77417,2506
201210,77421,2929
201210,77423,756
201210,77427,4059
201210,77464,3192
201210,88101,2860
201210,88102,2940
201210,88103,2912
201210,88104,3175
201210,88105,4040
201210,88107,2472
201210,88111,2474
201210,88111,3195
201210,88112,3189
201210,88113,3175
201210,88114,423
201210,88115,4109
201210,88117,1819
201210,88118,2994
201210,88119,4053
201210,88120,3189
201210,88121,3175
201210,88122,4109
201210,88123,2512
201210,88124,2472
201210,88125,4053
201210,88126,2539
201210,88127,3175
201210,88128,4053
201210,88129,3088
201210,88131,3088
201210,88132,2994
201210,88133,2539
201210,88134,2539
201210,88136,2403
201210,88137,2085
201210,88138,3189
201210,88140,2994
201210,88141,2403
201210,88142,3007
201210,88143,4094
201210,88144,3088
201210,88145,3189
201210,88147,3007
201210,88148,3007
201210,88149,1819
201210,88150,3130
201210,88151,4094
201210,88152,4094
201210,88153,2539
201210,88154,2994
201210,88155,2994
201210,88156,2472
201210,88163,4053
201210,88201,4039
201210,88202,3139
201210,88203,3140
201210,88204,3141
201210,88205,2929
201210,88207,2538
201210,88208,52
201210,88208,3160
201210,88212,3150
201210,88213,3150
201210,88217,3141
201210,88263,3150
201210,91630,1536
201210,91631,594
201210,91631,593
201210,91632,1351
201210,91632,1092
201210,91633,2210
201210,91633,1981
201210,91634,4113
201210,91635,833
201210,91636,15
201210,91636,54
201210,91637,2878
201210,91638,1981
201210,91639,2545
201210,91639,49
201210,91640,2878
201210,91640,2210
201210,91641,857
201210,91641,1518
201210,91642,236
201210,91643,15
201210,91643,54
201210,91701,801
201210,91702,3220
201210,91702,1244
201210,91703,2943
201210,91704,3220
201210,91704,2219
201210,91705,2348
201210,91706,1392
201210,91707,2245
201210,91708,1392
201210,91709,2245
201210,91710,2943
201210,91712,1495
201210,91713,3011
201210,91714,2943
201210,91714,2219
201210,91714,1630
201210,91715,1053
201210,91930,50
201210,91931,798
201210,91932,2332
201210,91933,1930
201210,91934,1681
201210,91935,220
201210,91943,220
201210,92209,2170
201210,92210,647
201210,92211,3238
201210,92212,3246
201210,92213,4049
201210,92214,1646
201210,92215,2429
201210,92430,2348
201210,92431,3011
201210,92432,2939
201210,92433,1732
201210,92434,2501
201210,92435,1393
201210,92436,1053
201210,92437,1411
201210,92438,801
201210,92445,2219
201210,92607,143
201210,92608,3210
201210,92609,4114
201210,92610,2459
201210,92611,1415
201210,92612,4132
201210,92613,3210
201210,92614,143
201210,92701,2957
201210,92702,3269
201210,92703,3269
201210,92704,2086
201210,92705,2958
201210,92706,1955
201210,92707,3244
201210,92708,687
201210,92709,833
201210,92711,843
201210,92711,3228
201210,92711,3227
201210,92712,3245
201210,92712,2469
201210,92713,2363
201210,92713,3244
201210,92715,2960
201210,92716,833
201210,92717,3266
201210,92718,1733
201210,92719,2086
201210,92720,4118
201210,92720,4139
201210,92902,1351
201210,92903,1015
201210,92904,593
201210,92905,1728
201210,92906,687
201210,92907,601
201210,92913,804
201210,93201,3171
201210,93202,54
201210,93203,17
201210,93204,2531
201210,93205,3047
201210,93206,2327
201210,93207,857
201210,93307,857
201210,93308,3171
201210,93309,857
201210,93309,54
201210,93310,17
201210,93311,4136
201210,93312,3129
201210,93313,687
201210,93314,15
201210,93701,179
201210,93702,2895
201210,93703,594
201210,93704,143
201210,93705,798
201210,93706,2286
201210,93707,2945
201210,93708,687
201210,93709,1925
201210,93710,179
201210,93711,2895
201210,93712,2554
201210,93713,1733
201210,93714,2384
201210,93715,3265
201210,93716,49
201210,93901,2914
201210,93902,3218
201210,93903,3236
201210,93904,1449
201210,93905,2265
201210,93906,1337
201210,95001,1768
201210,95002,4096
201210,95002,4097
201210,95003,3236
201210,95003,3252
201210,95004,4136
201210,95004,1449
201210,95005,3218
201210,95005,4097
201210,95006,1337
201210,95006,2265
201210,95007,4096
201210,95008,3257
201210,95009,4136
201210,95010,3216
201210,95011,2265
201210,95012,1337
201210,95012,2265
201210,95101,3094
201210,95101,4109
201210,95330,1536
201210,95331,594
201210,95332,1092
201210,95333,2945
201210,95334,4113
201210,95335,833
201210,95336,15
201210,95337,1536
201210,95337,1981
201210,95338,1768
201210,95339,49
201210,95340,2210
201210,95341,857
201210,95342,687
201210,95343,15
201210,95501,3219
201210,95502,1120
201210,95503,3219
201210,95504,2381
201210,95505,1348
201210,95506,2326
201210,95508,437
201210,95513,2984
201210,95514,437
201210,95515,1120
201210,95516,1120
201210,982101,1
201210,982102,987
201210,982103,3175
201210,982104,1819
201210,982105,1819
201210,982106,3175
201210,982107,15
201210,982108,2572
201210,987101,801
201211,11743,2413
201211,33129,2556
201211,33145,843
201211,33250,1686
201211,55345,213
201211,55501,2817
201211,55517,1749
201211,66443,398
201211,66443,2257
201211,66454,2403
201211,66465,886
201220,11303,50
201220,11305,4040
201220,11312,1329
201220,11313,3274
201220,11314,1329
201220,11320,220
201220,11322,2474
201220,11327,3184
201220,11329,3153
201220,11331,3274
201220,11335,220
201220,11341,3195
201220,11401,249
201220,11402,3025
201220,11403,3151
201220,11404,4088
201220,11408,2402
201220,11409,3080
201220,11410,1728
201220,11411,3351
201220,11412,1240
201220,11414,1128
201220,11415,2928
201220,11416,1728
201220,11417,3307
201220,11418,3073
201220,11419,3080
201220,11421,1256
201220,11423,2416
201220,11424,1679
201220,11425,150
201220,11426,2212
201220,11429,3374
201220,11429,3301
201220,11430,220
201220,11431,2210
201220,11434,752
201220,11435,302
201220,11436,1236
201220,11437,3006
201220,11440,363
201220,11441,4045
201220,11444,3006
201220,11445,2210
201220,11446,3149
201220,11446,4088
201220,11447,3100
201220,11449,594
201220,11451,2945
201220,11452,594
201220,11453,4088
201220,11453,1536
201220,11454,2895
201220,11455,4045
201220,11456,2945
201220,11457,363
201220,11458,1728
201220,11458,4045
201220,11459,4045
201220,11460,2212
201220,11461,3151
201220,11462,2212
201220,11463,3006
201220,11636,3292
201220,11653,752
201220,11657,1254
201220,11658,50
201220,11659,50
201220,11701,67
201220,11702,2940
201220,11703,4047
201220,11704,776
201220,11705,2971
201220,11707,4093
201220,11708,2822
201220,11709,2323
201220,11710,551
201220,11711,712
201220,11713,3274
201220,11714,4047
201220,11715,694
201220,11716,174
201220,11717,2798
201220,11718,712
201220,11719,67
201220,11720,1757
201220,11721,2980
201220,11722,2474
201220,11723,3153
201220,11725,50
201220,11726,3100
201220,11727,2353
201220,11728,219
201220,11729,3275
201220,11730,2895
201220,11733,4083
201220,11734,2474
201220,11735,2353
201220,11736,50
201220,11737,4001
201220,11738,2554
201220,11739,3274
201220,11740,2210
201220,11741,2975
201220,11742,2323
201220,11743,3073
201220,11743,2798
201220,11744,2554
201220,11745,4047
201220,11746,1681
201220,11747,2397
201220,11748,42
201220,11749,3149
201220,11750,2975
201220,11751,1681
201220,11752,2397
201220,11753,1254
201220,11754,2815
201220,11755,4001
201220,11756,49
201220,11757,1757
201220,11758,3275
201220,11759,3149
201220,11760,3370
201220,11761,1757
201220,11762,1681
201220,11763,49
201220,11764,3275
201220,11765,2975
201220,11766,2482
201220,11767,3130
201220,11767,2899
201220,11768,219
201220,11770,3149
201220,11771,3326
201220,11772,3274
201220,11773,684
201220,11901,4038
201220,11902,4038
201220,11903,4047
201220,11905,3206
201220,11906,52
201220,11906,3161
201220,11907,3365
201220,11909,3300
201220,11910,3300
201220,11911,3197
201220,11912,3277
201220,11912,3161
201220,11913,3279
201220,11914,3300
201220,11915,3202
201220,11917,3304
201220,11918,3197
201220,11919,3154
201220,20112,2572
201220,33101,3070
201220,33101,3355
