COD_BASE,NOMBRE_MAT,COD_PRECO,NOMBRE_PRECORREQUISITO,TIPO_REQUISITO
11756,seminario de investigacion,11726,metodologia y practica de la investigacion,prerrequisito
11756,seminario de investigacion,11734,problemas de contexto,prerrequisito
11757,evaluacion proyectos de negocios internacionales,11749,preparacion proyectos de negocios internacionales,prerrequisito
11757,evaluacion de proyectos de negocios internacionales,11749,formulacion de proyectos de negocios internacionales,prerrequisito
11763,alternativa de grado,11756,seminario de investigacion,prerrequisito
11767,ingles iii,11721,ingles ii,prerrequisito
11767,ingles iii,11721,ingles ii,prerrequisito
11768,practica profesional,11701,matematica basica,prerrequisito
11768,practica profesional,11701,matematica basica,prerrequisito
11768,practica profesional,11702,logica,prerrequisito
11768,practica profesional,11702,logica,prerrequisito
11768,practica profesional,11703,introduccion al programa,prerrequisito
11768,practica profesional,11703,introduccion al programa,prerrequisito
11768,practica profesional,11704,matematica financiera,prerrequisito
11768,practica profesional,11704,matematica financiera,prerrequisito
11768,practica profesional,11705,expresion oral y escrita,prerrequisito
11768,practica profesional,11705,expresion oral y escrita,prerrequisito
11768,practica profesional,11706,deporte formativo,prerrequisito
11768,practica profesional,11706,deporte formativo,prerrequisito
11768,practica profesional,11707,formacion integral i,prerrequisito
11768,practica profesional,11707,formacion integral i,prerrequisito
11768,practica profesional,11708,constitucion y formacion ciudadana,prerrequisito
11768,practica profesional,11708,constitucion y formacion ciudadana,prerrequisito
11768,practica profesional,11709,epistemologia de los negocios internacionales,prerrequisito
11768,practica profesional,11709,epistemologia de los negocios internacionales,prerrequisito
11768,practica profesional,11710,microeconomia,prerrequisito
11768,practica profesional,11710,microeconomia y macroeconomia,prerrequisito
11768,practica profesional,11711,contabilidad basica,prerrequisito
11768,practica profesional,11711,contabilidad basica,prerrequisito
11768,practica profesional,11712,electiva libre i,prerrequisito
11768,practica profesional,11712,electiva libre,prerrequisito
11768,practica profesional,11713,administracion basica,prerrequisito
11768,practica profesional,11713,administracion basica,prerrequisito
11768,practica profesional,11714,macroeconomia,prerrequisito
11768,practica profesional,11715,informatica basica,prerrequisito
11768,practica profesional,11716,estadistica inferencial,prerrequisito
11768,practica profesional,11717,ingles i,prerrequisito
11768,practica profesional,11717,ingles i,prerrequisito
11768,practica profesional,11718,contabilidad comercial,prerrequisito
11768,practica profesional,11718,contabilidad comercial,prerrequisito
11768,practica profesional,11719,estadistica descriptiva,prerrequisito
11768,practica profesional,11719,estadistica,prerrequisito
